etat,marque,annee,bvitesse,adresse,prix,image_link
D'occasion,Toyota,2012,Automatique,"Hlm, Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a857511c345460cadb47c19a5c7a2017/-/horizon-files-prod/ed/picture/qzvp0eed/313fb5bb2d31857a1a1a8c0c05a61d5dbc291f1c.jpg
Venant,Toyota,2016,Automatique,"Almadies, Dakar",27700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/988ab220976ab462f4b230175c096d3b/-/horizon-files-prod/ed/picture/q8v4489x/f2137ea8239d36ee2f1e3b2750fb1cb05b8e9a5a.jpg
Venant,Mazda,2016,Automatique,"Sicap Sacré-cœur, Dakar",13300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55d2999bb10bef15fdd49b206b9e845a/-/horizon-files-prod/ed/picture/qxjpvp62/5a33f0b99e0f63c90f9f01270783a9b35af925a4.jpg
D'occasion,Renault,2016,Manuelle,"Mermoz, Dakar",5250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f5321574c725bbf32894844f713f6fb/-/horizon-files-prod/ed/picture/q0g7jpkd/17471c457f33413573c73031bbedc49d4abe805c.jpg
Venant,Nissan,2017,Automatique,"Mermoz, Dakar",8950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3061ec7169d250d766ba421f8ce612fd/-/horizon-files-prod/ed/picture/q6xd9vv6/493efabc8bb878d0b469823bcb32b60efe54cf69.jpg
Venant,Hyundai,2016,Automatique,"Mermoz, Dakar",5950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92757163f66a5195b14f0c0373664c6d/-/horizon-files-prod/ed/picture/qq42kmz7/dd3b66c981d590f9f54d17f5a072a5a162c63ac8.jpg
Venant,Mazda,2016,Automatique,"Mermoz, Dakar",8950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e5a80ba644dd1cd3fe62b4e340f84dc9/-/horizon-files-prod/ed/picture/qpdme2g4/8c64255c13dc963359ad733a15f32da476a74b9d.jpg
Venant,Nissan,2018,Automatique,"Mermoz, Dakar",5150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ebf306c996bb10271056fc77ea0e778/-/horizon-files-prod/ed/picture/qxjp7ppw/eb7748802451f101a8a895ffb726078df7d187c6.jpg
Venant,Renault,2017,Automatique,"Keur Massar, Dakar",7200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b087271cc54124eb59dd885353b63b5/-/horizon-files-prod/ed/picture/q0g7jvm6/a11ba9bc26d946592fd17ecd759c2fc02a2b10fe.jpg
Venant,Mazda,2021,Automatique,"Sacré-cœur, Dakar",14000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68f9a3c2f9d380b0b2f23c039d41b17d/-/horizon-files-prod/ed/picture/q2j06vj8/5624aa39d50d6f646d95645058502f91b650b936.jpg
Venant,Mazda,2021,Automatique,"Mermoz, Dakar",14000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb5d383be7f6225042face391a349ae5/-/horizon-files-prod/ed/picture/qj4qeg46/1606cfbe5028afd8d5e356ea00474d5c3ac1ccd2.jpg
